Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jarren Duran*,27,BOS,AL,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,131,0.373,134,330,6,6,1,3,1,*87,ASMVP-8,duranja01
2,Shohei Ohtani*,29,LAD,NL,9.2,159,731,636,134,197,38,7,54,130,59,4,81,162,0.310,0.390,0.646,1.036,187,0.449,190,411,7,6,0,5,10,*D,ASMVP-1SS,ohtansh01
3,Gunnar Henderson*,23,BAL,AL,9.1,159,719,630,118,177,31,7,37,92,21,4,78,159,0.281,0.364,0.529,0.893,155,0.385,157,333,2,7,0,4,1,*6/D,ASMVP-4,hendegu01
4,Marcus Semien,33,TEX,AL,4.1,159,718,650,101,154,27,2,23,74,8,3,64,105,0.237,0.308,0.391,0.699,103,0.310,100,254,9,3,0,1,2,*4,AS,semiema01
5,Juan Soto*,25,NYY,AL,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,0.288,0.419,0.569,0.989,179,0.424,179,328,10,4,0,4,2,*9/7DH,ASMVP-3SS,sotoju01
6,Bobby Witt Jr.,24,KCR,AL,9.4,161,709,636,125,211,45,11,32,109,31,12,57,106,0.332,0.389,0.588,0.977,175,0.416,171,374,4,8,0,8,9,*6/D,ASMVP-2GGSS,wittbo02
7,Aaron Judge,32,NYY,AL,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,0.322,0.458,0.701,1.159,225,0.484,223,392,22,9,0,2,20,*8D/97,ASMVP-1SS,judgeaa01
8,Vladimir Guerrero Jr.,25,TOR,AL,6.2,159,697,616,98,199,44,1,30,103,2,2,72,96,0.323,0.396,0.544,0.940,164,0.399,165,335,16,5,0,4,12,*3D5/H,ASMVP-6SS,guerrvl02
9,Elly De La Cruz#,22,CIN,NL,5.2,160,696,618,105,160,36,10,25,76,67,16,69,218,0.259,0.339,0.471,0.809,118,0.367,122,291,12,6,2,1,2,*6/H,ASMVP-8,delacel01
10,Pete Alonso,29,NYM,NL,2.6,162,695,608,91,146,31,0,34,88,3,0,70,172,0.240,0.329,0.459,0.788,122,0.341,122,279,14,13,0,4,4,*3/DH,AS,alonspe01
11,Ezequiel Tovar,22,COL,NL,3.8,157,695,655,83,176,45,4,26,78,6,5,23,200,0.269,0.295,0.469,0.763,100,0.325,99,307,16,4,5,7,1,*6,MVP-19GG,tovarez01
12,Bryan Reynolds#,29,PIT,NL,3.6,156,692,622,73,171,29,3,24,88,10,2,57,156,0.275,0.344,0.447,0.791,121,0.355,125,278,7,10,0,3,3,*7D9,AS,reynobr01
13,Kyle Schwarber*,31,PHI,NL,3.5,150,692,573,110,142,22,0,38,104,5,3,106,197,0.248,0.366,0.485,0.851,133,0.367,137,278,6,5,0,8,4,*D/7H,-MVP 15.00,schwaky01
14,Francisco Lindor#,30,NYM,NL,6.9,152,689,618,107,169,39,1,33,91,29,4,56,127,0.273,0.344,0.500,0.844,137,0.373,141,309,7,12,0,3,0,*6/DH,MVP-2SS,lindofr01
15,Anthony Volpe,23,NYY,AL,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,0.243,0.293,0.364,0.657,86,0.296,84,232,9,4,2,3,1,*6/H,,volpean01
16,Willy Adames,28,MIL,NL,3.1,161,688,610,93,153,33,0,32,112,21,4,74,173,0.251,0.331,0.462,0.794,119,0.348,117,282,12,1,0,3,3,*6,-MVP 10.00,adamewi01
17,Marcell Ozuna,33,ATL,NL,4.3,162,688,606,96,183,31,0,39,104,1,0,74,170,0.302,0.378,0.546,0.925,154,0.394,154,331,23,3,0,4,2,*D,ASMVP-4,ozunama01
18,Matt Olson*,30,ATL,NL,3.8,162,685,600,78,148,37,1,29,98,0,0,71,170,0.247,0.333,0.457,0.790,118,0.342,117,274,15,9,0,5,5,*3,,olsonma02
19,Corbin Carroll*,23,ARI,NL,3.4,158,684,589,121,136,22,14,22,74,35,8,73,130,0.231,0.322,0.428,0.749,106,0.333,106,252,3,10,3,9,0,*89/H,,carroco02
20,Jose Altuve,34,HOU,AL,3.4,153,682,628,94,185,31,0,20,65,22,7,47,119,0.295,0.350,0.439,0.790,124,0.348,126,276,15,7,0,0,2,*4/DH,ASMVP-15SS,altuvjo01
21,José Ramírez#,31,CLE,AL,6.8,158,682,620,114,173,39,2,39,118,41,7,54,82,0.279,0.335,0.537,0.872,145,0.376,140,333,9,1,0,6,12,*5D,ASMVP-5SS,ramirjo01
22,William Contreras,26,MIL,NL,4.9,155,679,595,99,167,37,2,23,92,9,2,78,139,0.281,0.365,0.466,0.831,130,0.361,129,277,19,3,0,3,5,*2D/H,ASMVP-5SS,contrwi02
23,Luis Arráez*,27,2TM,NL,1.0,150,672,637,83,200,32,3,4,46,9,3,24,29,0.314,0.346,0.392,0.739,107,0.327,104,250,18,8,2,1,3,3D4/H,ASMVP-18,arraelu01
23,Luis Arráez*,27,MIA,NL,0.1,33,148,137,22,41,8,1,0,5,0,0,8,11,0.299,0.347,0.372,0.719,100,0.326,99,51,5,2,1,0,0,4/3,,arraelu01
23,Luis Arráez*,27,SDP,NL,0.9,117,524,500,61,159,24,2,4,41,9,3,16,18,0.318,0.346,0.398,0.744,108,0.327,106,199,13,6,1,1,3,3D/4H,,arraelu01
24,Jurickson Profar#,31,SDP,NL,3.6,158,668,564,94,158,29,0,24,85,10,3,76,101,0.280,0.380,0.459,0.839,134,0.369,137,259,14,18,5,5,4,*7/D3,ASMVP-14SS,profaju01
25,Anthony Santander#,29,BAL,AL,2.9,155,665,595,91,140,25,2,44,102,2,0,58,129,0.235,0.308,0.506,0.814,131,0.346,131,301,9,7,0,5,3,*9D/3H,ASMVP-14SS,santaan02
26,Gleyber Torres,27,NYY,AL,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,0.257,0.330,0.378,0.709,102,0.318,103,222,6,3,2,8,0,*4/H,,torregl01
27,Brandon Nimmo*,31,NYM,NL,2.2,151,663,571,88,128,25,3,23,90,15,0,77,158,0.224,0.327,0.399,0.727,106,0.331,111,228,7,12,0,3,1,*78/DH,,nimmobr01
